digit,k,method,ablated_acc,random_mean_acc,random_std,random_ci_lo,random_ci_hi
7,50,activation,61.69,84.47933333333332,2.7552591328020117,83.458375,85.36970000000002
7,50,weight,52.55,84.47933333333332,2.7552591328020117,83.458375,85.36970000000002
7,50,gradient,70.48,84.47933333333332,2.7552591328020117,83.458375,85.36970000000002
8,1,activation,88.99,89.125,0.21728245825806403,89.04882500000001,89.19785833333334
8,1,weight,89.2,89.125,0.21728245825806403,89.04882500000001,89.19785833333334
8,1,gradient,89.28,89.125,0.21728245825806403,89.04882500000001,89.19785833333334
8,5,activation,89.0,88.93299999999999,0.32861476939825107,88.81328333333332,89.047175
8,5,weight,88.6,88.93299999999999,0.32861476939825107,88.81328333333332,89.047175
8,5,gradient,88.49,88.93299999999999,0.32861476939825107,88.81328333333332,89.047175
8,10,activation,88.34,88.51666666666667,0.6543512478444246,88.28580833333332,88.74354999999998
8,10,weight,85.29,88.51666666666667,0.6543512478444246,88.28580833333332,88.74354999999998
8,10,gradient,86.75,88.51666666666667,0.6543512478444246,88.28580833333332,88.74354999999998
8,20,activation,78.17,87.41166666666666,1.0444235518004918,87.00773333333333,87.72538333333333
8,20,weight,75.52,87.41166666666666,1.0444235518004918,87.00773333333333,87.72538333333333
8,20,gradient,84.47,87.41166666666666,1.0444235518004918,87.00773333333333,87.72538333333333
8,50,activation,65.6,83.31600000000002,2.9665182734422286,82.23064166666666,84.39834166666667
8,50,weight,52.55,83.31600000000002,2.9665182734422286,82.23064166666666,84.39834166666667
8,50,gradient,70.48,83.31600000000002,2.9665182734422286,82.23064166666666,84.39834166666667
9,1,activation,89.43,89.19566666666667,0.13737256721129995,89.14579166666665,89.24201666666667
9,1,weight,89.2,89.19566666666667,0.13737256721129995,89.14579166666665,89.24201666666667
9,1,gradient,89.28,89.19566666666667,0.13737256721129995,89.14579166666665,89.24201666666667
9,5,activation,84.87,88.96866666666666,0.41218712039827565,88.82449166666666,89.11835
9,5,weight,88.6,88.96866666666666,0.41218712039827565,88.82449166666666,89.11835
9,5,gradient,88.49,88.96866666666666,0.41218712039827565,88.82449166666666,89.11835
9,10,activation,85.26,88.47066666666667,0.5855136396551509,88.27190000000002,88.66457500000001
9,10,weight,85.29,88.47066666666667,0.5855136396551509,88.27190000000002,88.66457500000001
9,10,gradient,86.75,88.47066666666667,0.5855136396551509,88.27190000000002,88.66457500000001
9,20,activation,78.44,87.338,1.0967418413950771,86.95314166666668,87.70450833333334
9,20,weight,75.52,87.338,1.0967418413950771,86.95314166666668,87.70450833333334
9,20,gradient,84.47,87.338,1.0967418413950771,86.95314166666668,87.70450833333334
9,50,activation,68.63,83.75233333333333,2.2256889320437883,82.90940833333333,84.48858333333332
9,50,weight,52.55,83.75233333333333,2.2256889320437883,82.90940833333333,84.48858333333332
9,50,gradient,70.48,83.75233333333333,2.2256889320437883,82.90940833333333,84.48858333333332
