digit,k,method,ablated_acc,random_mean_acc,random_std,random_ci_lo,random_ci_hi
0,1,activation,89.28,89.16666666666667,0.20847595118435827,89.09663333333334,89.23633333333333
0,1,weight,89.2,89.16666666666667,0.20847595118435827,89.09663333333334,89.23633333333333
0,1,gradient,89.28,89.16666666666667,0.20847595118435827,89.09663333333334,89.23633333333333
0,5,activation,87.81,88.86233333333331,0.4269791824225418,88.72330000000001,89.01089166666668
0,5,weight,88.6,88.86233333333331,0.4269791824225418,88.72330000000001,89.01089166666668
0,5,gradient,88.49,88.86233333333331,0.4269791824225418,88.72330000000001,89.01089166666668
0,10,activation,84.54,88.47333333333333,0.6180093490842632,88.24195833333333,88.6704
0,10,weight,85.29,88.47333333333333,0.6180093490842632,88.24195833333333,88.6704
0,10,gradient,86.75,88.47333333333333,0.6180093490842632,88.24195833333333,88.6704
0,20,activation,75.59,87.78366666666666,0.8483728870936152,87.44532499999998,88.10238333333332
0,20,weight,75.52,87.78366666666666,0.8483728870936152,87.44532499999998,88.10238333333332
0,20,gradient,84.47,87.78366666666666,0.8483728870936152,87.44532499999998,88.10238333333332
0,50,activation,63.36,83.26033333333335,2.641297008836547,82.27938333333333,84.184225
0,50,weight,52.55,83.26033333333335,2.641297008836547,82.27938333333333,84.184225
0,50,gradient,70.48,83.26033333333335,2.641297008836547,82.27938333333333,84.184225
1,1,activation,88.54,89.18066666666665,0.22924416871294626,89.10095,89.256525
1,1,weight,89.2,89.18066666666665,0.22924416871294626,89.10095,89.256525
1,1,gradient,89.28,89.18066666666665,0.22924416871294626,89.10095,89.256525
1,5,activation,86.07,88.88033333333334,0.4105645165162486,88.72851666666666,89.01775000000002
1,5,weight,88.6,88.88033333333334,0.4105645165162486,88.72851666666666,89.01775000000002
1,5,gradient,88.49,88.88033333333334,0.4105645165162486,88.72851666666666,89.01775000000002
1,10,activation,84.96,88.61166666666665,0.5583134324811552,88.39288333333333,88.81419166666666
1,10,weight,85.29,88.61166666666665,0.5583134324811552,88.39288333333333,88.81419166666666
1,10,gradient,86.75,88.61166666666665,0.5583134324811552,88.39288333333333,88.81419166666666
1,20,activation,78.11,87.74533333333333,1.022098277509989,87.38634166666667,88.12189166666667
1,20,weight,75.52,87.74533333333333,1.022098277509989,87.38634166666667,88.12189166666667
1,20,gradient,84.47,87.74533333333333,1.022098277509989,87.38634166666667,88.12189166666667
1,50,activation,58.94,84.28766666666667,2.0684852482486358,83.53240000000002,85.02835000000002
